Property Name,Address,Property Manager
10756 West 12th Lane,"10756 West 12th Lane, Lakewood, CO 80215",Karla Arredondo
1088 Miller Street,"1088 Miller Street, Lakewood, CO 80215",Amanda Grubham
1089 Lee Street,"1089 Lee Street, Lakewood, CO 80215",Amanda Grubham
11503-11523 W 61st Place,"11503-11523 West 61st Place, Arvada, CO 80004",Christi Newton
1204 Washington,"1204-1210 Washington Avenue, Golden, CO 80401",Blake Knudsen
12TH LANE TOWNHOMES,"10735-10755 West 12th Lane, Lakewood, CO 80215",Karla Arredondo
1301 Ammons Street,"1301 Ammons Street, Lakewood, CO 80214",Karla Arredondo
1385 Yukon Street,"1385 Yukon Street, Lakewood, CO 80214",Jackie TheBarge
1458 N Gaylord St,"1458 North Gaylord Street, Denver, CO 80206",Karla Arredondo
1495 Balsam,"1495 Balsam Street, Lakewood, CO 80214",Blake Knudsen
1690 EATON,"1690 Eaton Street, Lakewood, CO 80214",Christi Newton
202-208 Longs Peak,"208 East Longs Peak Avenue, Longmont, CO 80504",Julian Castaneda
212-218 Longs Peak,"218 East Longs Peak Avenue, Longmont, CO 80504",Julian Castaneda
2444 South York Street Apartments,"2444 South York Street, Denver, CO 80210",Julian Castaneda
25 East Alameda Avenue,"25 East Alameda Avenue, Denver, CO 80209",Jackie TheBarge
300-320 Washington Avenue,"300 North Washington Avenue, Golden, CO 80403",Blake Knudsen
333 North Lincoln Street,"333 North Lincoln Street, Denver, CO 80203",Jackie TheBarge
3650 Upham,"3650 Upham Street, Wheat Ridge, CO 80033",Karla Arredondo
4455 North Harlan,"4455 North Harlan Street, Wheat Ridge, CO 80033",Karla Arredondo
5351 Delaware,"5351 South Delaware Street, Littleton, CO 80120",Belem Moreno
5361 Delaware,"5361 South Delaware Street, Littleton, CO 80120",Belem Moreno
5381 Delaware,"5381 South Delaware Street, Littleton, CO 80120",Belem Moreno
5580 West 4th Avenue Apartments,"5580 West 4th Avenue, Lakewood, CO 80226",Karla Arredondo
591 West Prentice Avenue,"591 West Prentice Avenue, Littleton, CO 80120",Belem Moreno
6700 West 37th Place,"6700 West 37th Place, Wheat Ridge, CO 80033",Blake Knudsen
7250-7290 Newton Street,"7250 Newton Street, Westminster, CO 80030",Christi Newton
7750-7766 West 39th Ave,"7750-7766 West 39th Avenue, Wheat Ridge, CO 80033",Karla Arredondo
7846 W 90th,"7846 West 90th, Broomfield, CO 80021",Jackie TheBarge
801 Prentice,"801 West Prentice Avenue, Littleton, CO 80120",Christi Newton
8867 W 54th,"8867 West 54th Place, Arvada, CO 80002",Christi Newton
947-951 Allison Street,"947-951 Allison Street, Lakewood, CO 80214",Karla Arredondo
Allison Street Townhomes,"1245-1255 Allison St, Lakewood, CO 80214",Jackie TheBarge
Allison West Apartments,"1150 South Allison Street, Lakewood, CO 80232",Amanda Grubham
Ammons Apts at Belmar,"200-252 South Ammons Street, Lakewood, CO 80226",Amanda Grubham
Apex 1101,"1101 North Colorado Boulevard, Denver, CO 80206",Blake Knudsen
Apex 980,"980 South Dexter Street, Denver, CO 80246",Blake Knudsen
Barnum Park,"303 North Hooker Street, Denver, CO 80219",Blake Knudsen
Baseline Village,"801 East Baseline Road, Lafayette, CO 80026",Julian Castaneda
Boardwalk Apartments,"733 Miller Court, Lakewood, CO 80215",Karla Arredondo
Bonneville Apts,"790-794 Dayton Street, Aurora, CO 80010",Jackie TheBarge
Catalina Apartments,"5280 West 17th Avenue, Lakewood, CO 80214",Blake Knudsen
Char Rose,"4200 Yarrow Street, Wheat Ridge, CO 80033",Karla Arredondo
Columbine Plaza,"1998 South Columbine Street, Denver, CO 80210",Blake Knudsen
Copperwood Apartments,"725 Moore Street, Lakewood, CO 80215",Blake Knudsen
Cottages on Vance,"1366 Vance Street, Lakewood, CO 80214",Amanda Grubham
COTTONWOOD APARTMENTS,"8220 West 16th Place, Lakewood, CO 80214",Blake Knudsen
Country Club,"1060 Teller Street, Lakewood, CO 80214",Jackie TheBarge
Cross Apartments,"220 East 20th Avenue, Denver, CO 80205",Jackie TheBarge
Elati,"5399 South Elati Street, Littleton, CO 80120",Belem Moreno
ELK MOUNTAIN APARTMENTS,"186-196 N Ingalls Street, Lakewood, CO 80226",Christi Newton
Flats at 16th,"7035 West 16th Place, Lakewood, CO 80214",Karla Arredondo
Flats on 13th,"912 914 13th Street, Golden, CO 80401",Blake Knudsen
Garden Park Townhomes,"1201 21st Avenue, Longmont, CO 80501",Julian Castaneda
GRACE LANDINGS APARTMENTS,"5904-5934 So. Datura Street, Littleton, CO 80120",Christi Newton
Harley House,"5151 West 10th Avenue, Denver, CO 80204",Amanda Grubham
Harmony Apartments,"1545 Quitman Street, Denver, CO 80204",Jackie TheBarge
Hillside Apartments,"835 North Sherman Street, Denver, CO 80203",Jackie TheBarge
Hilltop Apartments,"9885 West 21st Avenue, Lakewood, CO 80215",Karla Arredondo
Jefferson Park,"2733-2737 West 23rd Avenue, Denver, CO 80211",Amanda Grubham
Lakeview Apartments,"4747 Harlan Street, Wheat Ridge, CO 80033",Christi Newton
Lamar Station,"1183 Lamar Street, Lakewood, CO 80214",Amanda Grubham
LaRonja Apartments,"1214 North Pierce Street, Lakewood, CO 80214",Amanda Grubham
Logan Court Apartments,"1461 North Logan Street, Denver, CO 80203",Jackie TheBarge
Lucca Apartments,"815 North Cherry Street, Denver, CO 80220",Julian Castaneda
Maple View,"8006 West 62nd Avenue, Arvada, CO 80004",Karla Arredondo
Melody Apartments,"1540 North Raleigh Street, Denver, CO 80204",Jackie TheBarge
Monte Vista,"2014 Emporia Street, Aurora, CO 80010",Jackie TheBarge
NOMA Apartments,"27 South Ogden Street, Denver, CO 80209",Julian Castaneda
OAK NORTH APTS,"3741 North Oak Street, Wheat Ridge, CO 80033",Blake Knudsen
Oak Street Apartments,"809-825 Oak Street, Lakewood, CO 80215",Blake Knudsen
OakView Apartments,"7305-7315 West 9th Place, Lakewood, CO 80214",Julian Castaneda
One Park View,"621 West Prentice Avenue, Littleton, CO 80120",Belem Moreno
Parklane Apartments,"2495-2485 South Gaylord Street, Denver, CO 80210",Blake Knudsen
Patina,"65 North Ogden Street, Denver, CO 80218",Jackie TheBarge
Peak View,"2253 Collyer Street, Longmont, CO 80501",Julian Castaneda
PINETREE Apts,"8555 West Dakota Avenue, Lakewood, CO 80214",Belem Moreno
Plaza West,"2535 2545 E Asbury Ave, Denver, CO 80210",Blake Knudsen
Prentice Place,"502 West Prentice Avenue, Littleton, CO 80120",Jackie TheBarge
Redwood Apartments,"730-740 Moore Street, Lakewood, CO 80215",Blake Knudsen
Rhapsody Apartments,"1590 Wolff Street, Denver, CO 80204",Jackie TheBarge
Sky Plaza,"3600 South Bannock Street, Englewood, CO 80110",Christi Newton
Sloans Lake Flats,"1600 Utica Street, Denver, CO 80204",Amanda Grubham
Sublime,"59 North Ogden Street, Denver, CO 80218",Jackie TheBarge
Sunnyside Terrace,"750 Dayton Street, Aurora, CO 80010",Jackie TheBarge
Table Mountain Townhomes,"17250 West Colfax Avenue, Golden, CO 80401",Blake Knudsen
Teller Street,"3659 Teller Street, Wheat Ridge, CO 80033",Karla Arredondo
The Birney Apartments,"1550 North Pennsylvania Street, Denver, CO 80203",Karla Arredondo
THE ELMS APARTMENTS,"1025 Ammons Street, Lakewood, CO 80214",Amanda Grubham
The Gold,"615 Water Street, Golden, CO 80401",Blake Knudsen
The Kimberly Apartments,"1613 Allison Street, Lakewood, CO 80214",Amanda Grubham
The Luceia Apartments,"2305 East Harvard Avenue, Denver, CO 80210",Karla Arredondo
THE PINES Apartments,"10635 West 7th Avenue, Lakewood, CO 80215",Blake Knudsen
The Sherlock Townhomes,"728 Baker Street, Longmont, CO 80501",Julian Castaneda
TOWNHOMES AT SLOANS LAKE,"2655 Depew Street, Edgewater, CO 80214",AJ Velazquez
Two Creeks Crossing Apartments,"1230 North Pierce Street, Lakewood, CO 80214",Amanda Grubham
Villa Rosa,"10705 West 7th Avenue, Lakewood, CO 80215",Blake Knudsen
Wadsworth Station West,"1270 North Balsam Street, Lakewood, CO 80215",Amanda Grubham
Westland Apartments,"9905 West 21st Avenue, Lakewood, CO 80215",Karla Arredondo
Wheat Ridge Manor,"7800 West 35th Avenue, Wheat Ridge, CO 80033",Jackie TheBarge
Williams Street,"3401 North Williams Street, Denver, CO 80205",Karla Arredondo
WILLOW RUSH,"420-440 South Depew Street, Lakewood, CO 80226",AJ Velazquez
York Apartments,"2466-2480 South York Street, Denver, CO 80210",Karla Arredondo
